모델명,연료,트림,가격
코나,가솔린,1.6 터보 2WD,1530
LF 쏘나타 하이브리드,가솔린+전기,2.0 HEV,1550
티볼리 에어,가솔린,1.6 IX 2WD,590
더 뉴 모하비,디젤,3.0 4WD,1590
GV70,디젤,2.2  2WD,3550
아반떼 AD,가솔린,1.6 터보 스포츠,1380
더 뉴 아반떼 (CN7),가솔린,2.0 N,2090
K5 3세대,가솔린,2,1899
SM6,가솔린,2.0 GDe 프리미에르,1270
그랜저 HG,LPG,LPG HG300 프리미엄,770
G70,가솔린,2.0T,1970
K5 하이브리드,가솔린+전기,프레스티지,550
그랜저 IG,가솔린,3.0 익스클루시브,1750
스포티지 5세대,가솔린,1.6 터보 2WD,1900
스타리아,LPG,L3.5 라운지 7인승,2859
더 뉴 G70,가솔린,2.5T 4WD,9999
스포티지 5세대,LPG,LPG 2.0 2WD,9999
렉스턴 스포츠,디젤,2.2 2WD,1530
크루즈,가솔린,1.8 LT+ 레더 패키지,350
카니발 4세대,가솔린,9인승 하이리무진,4720
K7 프리미어 하이브리드,가솔린+전기,노블레스,2530
G80 (RG3),가솔린,2.5 터보 2WD,4990
투싼 (NX4),가솔린,1.6 터보 2WD,2890
더 뉴 트레일블레이저,가솔린,1.3 터보 4WD,2800
더 뉴 아반떼,가솔린,1.6 GDi 스마트,560
GV70,가솔린,2.5T  2WD,3790
더 뉴 QM6,LPG,2.0 LPe RE 2WD,1239
팰리세이드,가솔린,3.8 2WD,2890
GV70,가솔린,2.5T  2WD,4349
더 넥스트 스파크,가솔린,패션,490
GV80,디젤,3.0  AWD,3999
그랜저 IG,가솔린,2.4 프리미엄,1860
그랜드 스타렉스,디젤,5인승 밴,1390
K7 프리미어,가솔린,2.5 GDI X 에디션,2070
K8,가솔린,2.5  2WD,2140
LF 쏘나타,가솔린,2.0 프리미엄,1150
QM3,디젤,RE,390
로디우스 유로,디젤,2WD RD500,420
더 뉴 카니발,디젤,7인승 리무진,1740
카니발 4세대,가솔린,7인승 시그니처,3690
G70,가솔린,2.0T AWD,2450
셀토스,가솔린,1.6 터보 4WD,1790
SM3 네오,디젤,SE,500
아반떼 AD,가솔린,1.6 GDI 스마트,860
더 뉴 K7,LPG,LPI 3.0 택시형,350
싼타페 TM,디젤,2.0 2WD,2600
G70,가솔린,2.0T,2750
더 뉴 렉스턴 스포츠,디젤,2.2 4WD,2990
GV70,가솔린,2.5T  2WD,4390
그랜드 스타렉스,디젤,3인승 밴,1260
트레일블레이저,가솔린,1.3 터보 2WD,1950
XM3,가솔린,1.3 TCe RE 시그니처,1390
더 뉴 카니발,디젤,9인승 하이리무진,2090
올 뉴 렉스턴,디젤,2.2 4WD,3380
더 뉴 아반떼 (CN7),가솔린,1.6,2100
쏘나타 하이브리드,가솔린+전기,2,650
리얼 뉴 콜로라도,가솔린,3.6 Z71-X 미드나잇 4WD,3780
더 뉴 니로,가솔린+전기,1.6 HEV,1680
더 뉴 QM6,LPG,2.0 LPe LE 시그니처 2WD,2010
캐스퍼,가솔린,터보 인스퍼레이션,1430
더 뉴 QM6,LPG,2.0 LPe RE 시그니처 2WD,9999
GV80,가솔린,3.5T  AWD,7200
카니발 4세대,가솔린,9인승 시그니처,3690
GV70,가솔린,2.5T  2WD,5000
아반떼 MD,가솔린,M16 GDI 스마트,350
올 뉴 K7 하이브리드,가솔린+전기,프레스티지,1450
더 뉴 레이,가솔린,럭셔리,850
더 뉴 K3,디젤,트렌디,640
K5 2세대,LPG,LPI SX,550
더 뉴 카니발 4세대,디젤,9인승 시그니처,4439
올 뉴 투싼,디젤,2.0 2WD,1430
더 뉴 모닝,가솔린,스마트,360
아반떼 (CN7),가솔린,1.6,1080
더 뉴 그랜드 스타렉스,디젤,냉동차,1650
올 뉴 모닝 (JA),가솔린,밴,9999
G80,가솔린,3.3 GDI,2580
더 K9,가솔린,3.8 GDI,2160
그랜드 스타렉스,디젤,5인승 밴,770
QM3,디젤,LE,279
베뉴,가솔린,1.6 모던,1390
K5 3세대,가솔린,2,2270
K9,가솔린,3.3 GDI 이그제큐티브,690
SM6,가솔린,2.0 프라임 SE,750
티볼리 아머,디젤,기어 에디션 2WD,1050
카니발 4세대,디젤,9인승 노블레스,2449
QM6,디젤,4WD RE 시그니처,1350
더 뉴 팰리세이드,가솔린,3.8 4WD,4270
G80,가솔린,3.3 GDI AWD,2550
제네시스,가솔린,BH330 프리미엄,650
코란도 스포츠,디젤,CX7 4WD,470
더 뉴 K9,가솔린,3.3 GDI 프레스티지,879
올 뉴 카니발,가솔린,7인승 리무진,1040
그랜저 HG,가솔린,HG300 프리미엄,9999
더 뉴 기아 레이,가솔린,밴,1200
팰리세이드,디젤,2.2 4WD,3600
뉴카렌스,LPG,LPI 2.0 GLX,450
뉴 스타일 코란도 C,디젤,2.2 RX 2WD,1150
그랜저 HG,가솔린,HG240 모던,700
카니발 4세대,가솔린,9인승 노블레스,2960
EQ900,가솔린,5.0 GDI AWD,2790
더 뉴 카니발,디젤,9인승 럭셔리,1530
스타리아,LPG,L3.5 카고 3인승,3050
코나 하이브리드 (SX2),가솔린+전기,프리미엄,2830
스포티지 더 볼드,디젤,1.6 4WD,1300
더 뉴 그랜저 IG,가솔린,3.3,2649
더 뉴 쏘렌토 4세대,디젤,2.2 4WD,4590
더 뉴 K3 2세대,가솔린,1.6,1970
더 뉴 카니발 4세대,디젤,9인승 그래비티,4840
쏘렌토 4세대,디젤,2.2 4WD,2800
더 뉴 싼타페,가솔린,2.5T 2WD,3650
그랜저 IG,LPG,3.0 LPi 장애인용,1599
더 뉴 팰리세이드,디젤,2.2 2WD,3950
올란도,LPG,LPG LTZ,590
카니발 4세대,디젤,9인승 하이리무진,4520
뉴SM5 플래티넘,가솔린,RE,520
SM6,LPG,2.0 LPe SE,575
SM6,LPG,2.0 LPe SE,730
스포티지 더 볼드,디젤,2.0 2WD,1849
올 뉴 카니발,디젤,9인승 프레스티지,1370
쏘울 부스터,가솔린,1.6 T-GDI 노블레스,1590
올 뉴 모닝,가솔린,밴,300
더 뉴 카니발,디젤,7인승 하이리무진,2439
스타리아,LPG,L3.5 카고 3인승,2899
코나,가솔린,1.6 터보 2WD,1599
팰리세이드,가솔린,3.8 4WD,2490
카니발 4세대,디젤,9인승 시그니처,3070
올 뉴 투싼,디젤,1.7 2WD,1170
렉스턴 스포츠,디젤,2.2 4WD,1850
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,3310
더 뉴 맥스크루즈,디젤,2.2 4WD,1699
쏘나타 뉴 라이즈,가솔린,2.0 모던,1370
티볼리 에어,디젤,IX 4WD,660
제네시스 DH,가솔린,G330 프리미엄 AWD,1650
EV6,전기,롱레인지,2750
올 뉴 카니발,디젤,9인승 하이리무진,1899
G80 (RG3),가솔린,2.5 터보 2WD,4840
그랜저 IG,가솔린,3.3 셀러브리티,2130
스팅어,가솔린,3.3 터보 AWD,2620
쏘렌토 4세대,가솔린,2.5T 2WD,3550
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,3100
일렉트리파이드 GV70,전기,e-AWD,5450
카니발 4세대,가솔린,7인승 시그니처,3060
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,2369
올 뉴 K3,가솔린,스탠다드,1250
더 뉴 G70,가솔린,2.5T 4WD,3650
더 뉴 제네시스 쿠페,가솔린,200 터보 S,530
카니발 4세대,디젤,9인승 시그니처,3690
벨로스터,가솔린,DCT팩,450
쏘나타 뉴 라이즈,LPG,LPI 스타일,920
더 뉴 그랜드 스타렉스,LPG,어린이보호차 LPi,2450
싼타페 TM,디젤,2.0 2WD,2230
렉스턴 W,디젤,2.0 4WD RX7,800
i30 (PD),가솔린,1.6 터보,920
더 뉴 아반떼,가솔린,1.6 GDi 스마트,540
더 뉴 팰리세이드,가솔린,3.8 2WD,3399
모하비 더 마스터,디젤,3.0 4WD 6인승,5590
스파크,LPG,LPG LS,260
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1100
더 뉴 카니발 4세대,가솔린+전기,HEV 9인승 그래비티,5850
더 뉴 아반떼 (CN7),가솔린,1.6,2430
쏘나타 (DN8),가솔린,1.6 터보,1790
더 뉴 셀토스,가솔린,1.6 터보 2WD,2190
스팅어 마이스터,가솔린,2.5 마스터즈,2599
쏘렌토 4세대,디젤,2.2 2WD,2580
카니발 4세대,디젤,9인승 시그니처,2890
K5,가솔린,2.0 스마트,450
더 뉴 팰리세이드,가솔린,3.8 4WD,3589
올 뉴 카니발,디젤,9인승 럭셔리,950
SM6,가솔린,1.6 TCe RE,1090
레이,가솔린,프레스티지,1050
트레일블레이저,가솔린,1.3 터보 2WD,1730
올 뉴 카니발,디젤,9인승 하이리무진,2099
올 뉴 쏘렌토,디젤,2.0 2WD,1780
팰리세이드,디젤,2.2 2WD,2699
트랙스,가솔린,1.4 LTZ,499
일렉트리파이드 GV70,전기,e-AWD,5020
올 뉴 프라이드,가솔린,1.4 MPI 해치백,450
더 뉴 K3 2세대,가솔린,1.6 터보 GT 5도어,2430
QM6,가솔린,2WD RE 시그니처,1530
코란도 투리스모,디젤,4WD TX 9인승,950
더 뉴 그랜저 IG,가솔린,2.5,2050
더 뉴 레이,가솔린,디럭스,610
더 뉴 QM6,LPG,2.0 LPe RE 2WD,1570
그랜저 HG 하이브리드,가솔린+전기,프리미엄,1250
G80 (RG3),가솔린,3.5 터보 2WD,3950
마스터,디젤,2.3 밴 L,2740
캐스퍼,가솔린,모던,1110
G70,가솔린,3.3T 스포츠 AWD,2349
레이,가솔린,럭셔리,590
스팅어,가솔린,3.3 터보 2WD,2299
싼타페 (MX5),가솔린+전기,HEV 1.6 2WD,4280
K5 3세대,가솔린,1.6 터보,1860
올 뉴 K7,디젤,2.2  리미티드 에디션,1250
올 뉴 투싼,디젤,1.7 2WD,1229
더 넥스트 스파크,가솔린,LTZ,649
G70,가솔린,2.0T AWD,2749
스타리아,가솔린+전기,HEV 1.6 카고 5인승,3200
팰리세이드,디젤,2.2 2WD,3140
GV70,가솔린,2.5T  2WD,3420
GV70,가솔린,2.5T  2WD,4490
코나 하이브리드 (SX2),가솔린+전기,모던,2950
올 뉴 투싼,디젤,1.7 2WD,1250
더 뉴 QM6,LPG,2.0 LPe RE 시그니처 2WD,1699
GV80,디젤,3.0  AWD,3550
그랜저 HG,LPG,LPG HG300 이그제큐티브,699
더 K9,가솔린,3.8 GDI,2350
더 뉴 그랜드 스타렉스,디젤,웨건 12인승,1630
더 K9,가솔린,3.8 GDI AWD,3550
K5 하이브리드 3세대,가솔린+전기,시그니처,2750
더 뉴 i40 살룬,디젤,1.7 VGT,780
스포티지 4세대,디젤,2.0 2WD 노블레스,1320
더 뉴 니로,가솔린+전기,1.6 HEV,1800
올 뉴 카니발,디젤,9인승 노블레스,900
그랜저 HG,디젤,HG220  프리미엄,699
쏘나타 더 브릴리언트,LPG,LPI 모던,450
스포티지 5세대 하이브리드,가솔린+전기,시그니처 2WD,3080
K3,가솔린,럭셔리,710
더 뉴 스파크,가솔린,LT,730
스포티지 4세대,디젤,2.0 2WD 프레스티지,1230
K5 하이브리드 3세대,가솔린+전기,노블레스,2470
올 뉴 말리부,가솔린,1.5 터보 LT,740
더 뉴 아반떼 AD,가솔린,1.6,1230
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3700
모하비 더 마스터,디젤,3.0 4WD 6인승,9999
더 뉴 스파크,가솔린,프리미어,950
더 뉴 G70,가솔린,2.0T 4WD,2840
G70,가솔린,3.3T 스포츠,2600
아르카나,가솔린+전기,1.6 E-TECH 아이코닉,2880
싼타페 DM,디젤,2.0 2WD 프리미엄,1130
뉴SM5(신형),가솔린,SE 플러스,220
카니발 4세대,디젤,7인승 시그니처,2799
더 뉴 트랙스,가솔린,1.4 LT,850
스포티지 5세대 하이브리드,가솔린+전기,시그니처 2WD,3050
스팅어,가솔린,3.3 터보 AWD,2099
모하비,디젤,4WD KV300,520
아반떼 하이브리드 (CN7),가솔린+전기,모던,1270
쏘나타 뉴 라이즈 하이브리드,가솔린+전기,프리미엄,1795
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,3150
아반떼 AD,가솔린,1.6 터보 스포츠,999
그랜저 HG,가솔린,HG240 모던,810
카니발 4세대,가솔린,9인승 시그니처,3090
싼타페 더 프라임,디젤,2.0 2WD,1349
더 K9,가솔린,3.8 GDI AWD,1750
카니발 4세대,가솔린,9인승 노블레스,2489
올 뉴 모닝,가솔린,디럭스 트렌디,390
올란도,LPG,LPG LT,750
올 뉴 K7,가솔린,2.4 GDI 리미티드,1930
올 뉴 카니발,디젤,9인승 하이리무진,1450
올 뉴 카니발,디젤,9인승 노블레스,1050
K3,가솔린,트렌디,560
K8,가솔린,2.5  2WD,3790
K8,가솔린,3.5  2WD,3600
올 뉴 투싼,디젤,1.7 2WD,1279
GV70,디젤,2.2  AWD,3890
스포티지 5세대,가솔린,1.6 터보 2WD,2020
스팅어 마이스터,가솔린,2.5 마스터즈 아크로 에디션,3290
더 뉴 스포티지 R,디젤,2WD 프레스티지,890
K3,가솔린,럭셔리,670
그랜저 IG,디젤,2.2  모던,950
GV70,가솔린,2.5T  2WD,4499
SM3 네오,가솔린,SE,399
임팔라,가솔린,2.5 LTZ,870
크루즈5,가솔린,1.8 LT,170
스타리아,LPG,L3.5 카고 5인승,2750
뉴SM3,가솔린,SE,329
아반떼 AD,가솔린,1.6 GDI 프리미엄,1180
쏘나타 (DN8),가솔린,2,1740
베리 뉴 티볼리,가솔린,1.5 2WD,1260
카니발 4세대,디젤,9인승 시그니처,3330
더 뉴 레이,LPG,LPI 프레스티지,1300
K7,가솔린,VG270 럭셔리,450
제네시스,가솔린,프라다 GP500,1670
코란도 투리스모,디젤,4WD 11인승 어드벤처 60th 에디션,999
어메이징 뉴 크루즈5,디젤,2.0  LTZ,399
모하비 더 마스터,디젤,3.0 4WD 7인승,3160
K5 2세대,가솔린,2.0 MX,800
그랜저 HG,가솔린,HG300 익스클루시브,479
더 뉴 카마로,가솔린,SS 6.2 V8,4099
제네시스 DH,가솔린,G380 프레스티지 AWD,1650
K5 2세대,LPG,LPI MX,1220
스타리아,LPG,L3.5 어린이보호차,3180
SM5 노바,가솔린,SE,390
아이오닉5,전기,롱레인지,3080
일렉트리파이드 GV70,전기,e-AWD,5220
벨로스터 (JS),가솔린,1.6 터보 스포츠,1290
카니발 R,디젤,뉴카니발 GLX,390
i30 (PD),가솔린,1.6 터보,1290
모하비 더 마스터,디젤,3.0 4WD 5인승,2420
더 뉴 SM6,LPG,2.0 LPe LE,1450
i30 (PD),가솔린,1.6 터보,1550
더 뉴 스파크,가솔린,프리미어,980
카니발 4세대,디젤,9인승 시그니처,2770
더 뉴 기아 레이,가솔린,밴,1260
아반떼 AD,가솔린,1.6 GDI 스마트,999
쏘렌토 4세대,가솔린,2.5T 2WD,3690
SM7 노바,가솔린,2.5 V6,750
더 뉴 카니발 4세대,가솔린+전기,HEV 9인승 하이리무진,7800
SM5 노바,가솔린,클래식,660
더 뉴 쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,5350
볼트 EV,전기,EV 프리미어,1710
K3,가솔린,디럭스,520
더 뉴 카니발,디젤,7인승 리무진,2070
더 뉴 카니발,디젤,7인승 리무진,2095
투싼 하이브리드 (NX4),가솔린+전기,인스퍼레이션 2WD,2840
베리타스,가솔린,디럭스,379
EQ900,가솔린,3.8 GDI AWD,1530
K7 프리미어,가솔린,3.0 GDI 노블레스,2450
뉴모닝,가솔린,SLX,139
더 뉴 QM6,LPG,퀘스트 2.0 LPe LE 2WD,1950
엑센트(신형),가솔린,1.4 VVT 모던,599
리얼 뉴 콜로라도,가솔린,3.6 Z71-X 4WD,2670
더 뉴 레이,가솔린,밴,699
더 뉴 G70,가솔린,3.3T 4WD,3710
스타리아,디젤,투어러 9인승,2970
SM3 네오,가솔린,SE 플러스,270
올 뉴 K3,가솔린,스탠다드,1050
셀토스,디젤,1.6 4WD,1760
더 뉴 쏘렌토,디젤,2.0 2WD,1520
스타리아,디젤,카고 3인승,2050
카니발 4세대,디젤,7인승 시그니처,2990
더 K9,가솔린,3.8 GDI AWD,2790
올 뉴 투싼,디젤,2.0 2WD,1415
LF 쏘나타,가솔린,2.0 스타일,1020
더 K9,가솔린,3.3 T-GDI AWD,2790
어메이징 뉴 크루즈,가솔린,1.4 터보 LTZ,399
넥쏘,수소,프리미엄,1750
스포티지 R,디젤,2WD TLX,770
아반떼 MD,LPG,LPI M16 스마트,600
K5 하이브리드 3세대,가솔린+전기,프레스티지,1490
더 뉴 그랜드 스타렉스,디젤,4WD 리무진,9999
더 뉴 그랜드 스타렉스,LPG,어린이보호차 LPi,2490
에쿠스(신형),가솔린,VS380,1250
G80 (RG3),가솔린,3.5 터보 AWD,3650
G4 렉스턴,디젤,2.2 4WD,2240
더 뉴 K5,LPG,LPI 디럭스,770
올 뉴 크루즈,가솔린,1.4 터보 LT,340
그랜저 HG,가솔린,HG240 모던,1190
더 뉴 그랜저 IG,가솔린,2.5,2930
그랜저 IG,가솔린,3.0 익스클루시브,1280
스파크,LPG,LPG L,260
LF 쏘나타,가솔린,2.0 스마트,950
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1300
더 뉴 모닝,가솔린,디럭스,450
에쿠스,가솔린,JS350,500
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4229
G70,가솔린,2.0T,2230
스포티지 5세대 하이브리드,가솔린+전기,시그니처 그래비티 2WD,2899
카니발 4세대,가솔린,9인승 하이리무진,6350
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,990
G80,가솔린,3.3 T-GDI,2430
G70,디젤,2.2D AWD,1699
G80 (RG3),가솔린,2.5 터보 AWD,4999
더 뉴 스파크,가솔린,프리미어,689
SM6,가솔린,2.0 GDe SE,740
아반떼 HD,가솔린,1.6 VVT E16,300
더 뉴 스파크,가솔린,프리미어,849
더 뉴 그랜드 스타렉스,디젤,밴 5인승,1570
뉴모닝,가솔린,LX,220
더 뉴 맥스크루즈,디젤,2.2 4WD,1550
티볼리 아머,가솔린,기어 에디션 2WD,870
스포티지 5세대 하이브리드,가솔린+전기,시그니처 2WD,2870
제네시스 DH,가솔린,G380 프레스티지 AWD,1050
더 뉴 G70,가솔린,2.0T 2WD,3350
팰리세이드,디젤,2.2 2WD,4544
모하비 더 마스터,디젤,3.0 4WD 5인승,2929
아반떼 (CN7),가솔린,1.6,1850
벨로스터 (JS),가솔린,1.6 터보 스포츠,1659
더 뉴 레이,가솔린,프레스티지,990
뉴SM3,가솔린,LE,170
올 뉴 카니발,디젤,6인승 휠체어 리프트,1200
LF 쏘나타,LPG,LPI 모던,579
카니발 4세대,디젤,7인승 시그니처,2850
G70,가솔린,3.3T 스포츠,2299
투싼 (NX4),디젤,2.0 2WD,1980
올란도,디젤,2.0  LTZ,490
그랜저 HG,가솔린,HG300 익스클루시브,719
더 뉴 K9 2세대,가솔린,3.8 GDI AWD,73
올 뉴 K7,가솔린,3.3 GDI 노블레스,870
티볼리 에어,디젤,IX 2WD,820
스타리아,디젤,4WD 라운지 7인승,6244
K3,디젤,럭셔리,499
뉴SM5 플래티넘,디젤,D 스페셜,249
더 뉴 K7,LPG,LPI 3.0 럭셔리,820
그랜드 스타렉스,LPG,기타 특장차,1850
더 뉴 그랜저 IG,가솔린,2.5,1850
트랙스,디젤,1.6  LTZ,520
더 뉴 카니발,디젤,9인승 노블레스,1599
GV80,디젤,3.0  AWD,5388
더 뉴 트랙스,가솔린,1.4 레드라인,1190
SM3 네오,가솔린,LE,790
셀토스,가솔린,1.6 터보 4WD,1960
더 뉴 K5 하이브리드 3세대,가솔린+전기,시그니처,3490
올 뉴 투싼,가솔린,1.6 터보 4WD,1680
스포티지 5세대,가솔린,1.6 터보 2WD,2140
더 뉴 그랜드 스타렉스,LPG,어린이보호차 LPi,2499
더 뉴 그랜드 스타렉스,LPG,어린이보호차 LPi,2429
스타리아,디젤,4WD 라운지 7인승,5990
K7 프리미어,가솔린,3.0 GDI 시그니처,2090
그랜저 IG,가솔린,2.4 프리미엄,1030
더 뉴 그랜드 스타렉스,LPG,어린이보호차 LPi,2190
더 뉴 벨로스터,가솔린,1.6 PYL DCT,650
뉴코란도 C,디젤,2.0 CVT 2WD,470
더 뉴 기아 레이,가솔린,프레스티지,1460
카니발 4세대,디젤,9인승 시그니처,2999
G80 (RG3),가솔린,2.5 터보 AWD,5430
쏘렌토 4세대,가솔린,2.5T 2WD,3850
올 뉴 렉스턴,디젤,2.2 4WD,3250
XM3,가솔린,1.3 TCe RE 시그니처,1429
아반떼 (CN7),가솔린,1.6,2350
아반떼 (CN7),가솔린,1.6,1930
더 뉴 그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2590
G90 (RS4),가솔린,3.5 터보 AWD,7950
LF 쏘나타 하이브리드,가솔린+전기,2.0 HEV,1450
G90,가솔린,3.3 T AWD,5790
카니발 4세대,가솔린,7인승 시그니처,3790
티볼리 아머,디젤,VX 2WD,860
그랜드 스타렉스,디젤,5인승 밴,1455
올 뉴 모닝 (JA),가솔린,럭셔리,700
트래버스,가솔린,3.6 AWD 레드라인,2460
레이,가솔린,디럭스 스페셜,490
K8 하이브리드,가솔린+전기,시그니처,3950
스포티지 5세대,가솔린,1.6 터보 2WD,2190
카니발 4세대,가솔린,7인승 시그니처,2899
LF 쏘나타,LPG,LPI 모던,790
올 뉴 모닝,가솔린,디럭스 트렌디,420
더 뉴 레이,가솔린,밴,899
베뉴,가솔린,1.6 스마트,1390
벨로스터 (JS),가솔린,2.0 N,2590
코나,가솔린,1.6 터보 2WD,1340
K5,가솔린,2.0 디럭스,460
팰리세이드,디젤,2.2 2WD,2620
더 K9,가솔린,3.3 GDI,1820
더 뉴 투싼 하이브리드 (NX4),가솔린+전기,HEV 1.6 2WD,3320
더 뉴 QM6,LPG,2.0 LPe RE 2WD,1499
더 뉴 그랜저 IG,가솔린,2.5,2819
올 뉴 K7 하이브리드,가솔린+전기,프레스티지,1579
더 K9,가솔린,3.8 GDI AWD,2449
아반떼 MD,가솔린,M16 GDI 블루세이버,499
스포티지 4세대,디젤,2.0 2WD 노블레스,1460
스포티지 R,디젤,2WD TLX,790
더 뉴 QM6,LPG,2.0 LPe LE 2WD,1230
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,1860
올 뉴 모닝,가솔린,디럭스,320
EQ900,가솔린,3.8 GDI AWD,1930
쏘나타 하이브리드,가솔린+전기,2,620
i30(신형),디젤,1.6 VGT PYL,590
올 뉴 K7,가솔린,2.4 GDI 프레스티지,1240
카니발 4세대,디젤,9인승 프레스티지,2930
GV70,디젤,2.2  2WD,4200
모하비 더 마스터,디젤,3.0 4WD 6인승,5555
베리 뉴 티볼리,디젤,1.6 4WD,1650
더 뉴 레이,가솔린,밴,680
더 뉴 말리부,가솔린,2.0 터보 레드라인,1900
더 뉴 그랜저 IG,가솔린,2.5,2940
쏘나타 더 브릴리언트,LPG,LPI 스타일,410
더 뉴 카니발,디젤,7인승 하이리무진,2750
스타리아,디젤,4WD 캠핑카,6450
로체 이노베이션,LPG,LPI LX20,260
아베오 해치백,가솔린,LS,290
올란도,LPG,LPG LT,1100
올 뉴 프라이드,가솔린,1.6 GDI 세단,350
그랜저 HG,가솔린,HG300 프리미엄,899
아반떼 AD,가솔린,1.6 GDI 스타일,649
그랜저 IG,LPG,3.0 LPI 택시형,1200
싼타페 (MX5),가솔린+전기,HEV 1.6 2WD,3950
더 뉴 토레스,가솔린,1.5 2WD,9999
더 뉴 K9 2세대,가솔린,3.8 GDI AWD,4850
더 뉴 모하비,디젤,3.0 4WD,2750
카니발 4세대,디젤,9인승 프레스티지,2580
아르카나,가솔린+전기,1.6 E-TECH 아이코닉 디자인 패키지,2880
팰리세이드,디젤,2.2 2WD,2950
더 뉴 말리부,가솔린,2.0 터보 레드라인,1499
트랙스,디젤,1.6  LT 래더패키지,530
GV80,가솔린,3.5T  AWD,5580
더 뉴 싼타페,디젤,2.2 2WD,2940
쏘나타 하이브리드 (DN8),가솔린+전기,인스퍼레이션,2470
스타리아,디젤,투어러 11인승,2980
스팅어,가솔린,3.3 터보 AWD,2880
투싼 (NX4),가솔린,1.6 터보 2WD,2850
캐스퍼,가솔린,터보 인스퍼레이션,1730
더 뉴 그랜저 IG,가솔린,2.5,2599
그랜저 IG,디젤,2.2  프리미엄,1880
더 K9,가솔린,3.8 GDI AWD,2650
셀토스,가솔린,1.6 터보 2WD,1880
더 뉴 쏘렌토,디젤,2.2 2WD,2280
더 뉴 말리부,가솔린,1.3 터보 프리미어,990
코란도 투리스모,디젤,4WD GT 11인승,380
뉴SM3,가솔린,SE 블랙,250
SM6,LPG,2.0 LPe RE,869
모하비 더 마스터,디젤,3.0 4WD 5인승,3759
뉴SM3,가솔린,SE,420
스팅어 마이스터,가솔린,3.3 GT AWD,3999
더 뉴 카니발,디젤,9인승 하이리무진,2599
더 뉴 아반떼 AD,가솔린,1.6,9999
더 뉴 그랜저 IG,가솔린,3.3,1920
G80 (RG3),가솔린,2.5 터보 AWD,3350
뷰티풀 코란도,디젤,1.6 2WD C3,1090
G80 (RG3),가솔린,3.5 터보 AWD,5350
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1680
스타리아,가솔린+전기,HEV 1.6 투어러 9인승,3690
카니발 4세대,디젤,9인승 시그니처,2750
그랜저 HG,가솔린,HG300 익스클루시브,780
카니발 4세대,디젤,9인승 노블레스,2230
GV80,가솔린,2.5T  AWD,5150
아반떼 (CN7),가솔린,1.6,1070
그랜저 IG,가솔린,3.3 셀러브리티,2249
토레스,가솔린,1.5 4WD,2450
더 뉴 코란도 스포츠,디젤,2.2 CX7 4WD,1149
올 뉴 카니발,디젤,9인승 프레스티지,1200
SM6,LPG,2.0 LPe RE,1220
모하비,디젤,4WD KV300,1160
더 뉴 쏘렌토,디젤,2.2 4WD,2100
더 뉴 카니발,디젤,9인승 노블레스 스페셜,2380
카니발 4세대,디젤,9인승 노블레스,3050
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,2690
그랜드 스타렉스,디젤,휠체어 리프트/슬로프,1150
더 뉴 모하비,디젤,3.0 4WD,2349
더 뉴 렉스턴 스포츠,디젤,2.2 4WD,2199
코란도 스포츠,디젤,CX7 4WD,670
더 뉴 트랙스,가솔린,1.4 LT,1170
쏘울,가솔린,1.6 스마트,350
G80 (RG3),가솔린,2.5 터보 AWD,5190
팰리세이드,가솔린,3.8 4WD,3350
스타리아,LPG,L3.5 라운지 9인승,3250
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,9990
뉴모닝,LPG,LPI LX,190
더 뉴 아반떼 AD,가솔린,1.6,1080
더 뉴 쏘렌토,디젤,2.2 4WD,2069
스타리아,가솔린+전기,HEV 1.6 투어러 11인승,3650
모닝 어반 (JA),가솔린,프레스티지,1090
그랜저 IG,가솔린,3.0 프리미엄,1950
아반떼 (CN7),LPG,1.6 LPi,1280
뉴SM3,가솔린,RE,199
스팅어,디젤,2.2  2WD,1950
쏘렌토 4세대,디젤,2.2 2WD,2280
카니발 4세대,디젤,9인승 프레스티지,2780
아반떼 (CN7),가솔린,1.6,1320
코나,가솔린,1.6 터보 2WD,1640
쏘렌토 4세대,디젤,2.2 2WD,2450
티볼리 아머,디젤,기어 에디션 2WD,750
그랜저 (GN7),LPG,3.5 LPG 2WD,3550
올 뉴 모닝 (JA),가솔린,럭셔리,760
더 뉴 쏘렌토,디젤,2.2 2WD,8989
더 뉴 그랜저 IG,가솔린,2.5,2780
쏘나타 하이브리드,가솔린+전기,2,630
쏘나타 뉴 라이즈,LPG,LPI 모던,1030
팰리세이드,가솔린,3.8 4WD,3250
K8 하이브리드,가솔린+전기,노블레스,2980
